"ROW_ID","REQUEST_ID","STATUS","MESSAGE","REQUEST_DATE","CURRENCY_CODE","RECEIPT_DATE","GL_DATE","EXCHANGE_DATE","EXCHANGE_RATE_TYPE","RECEIPT_METHOD_ID","RECEIPT_NUMBER","REMITTANCE_BACK_ACC_ID","DEPOSIT_DATE","CUSTOMER_ID","ORG_ID","AMOUNT","REGION","INTEG_MODE"
509164,35664,Success, ,2026-06-02 09:12:56.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912195,"300000039834164",2026-05-08 00:00:00.000,300000040073226,300000001421038,866.01,SA,MANUAL
509163,35664,Success, ,2026-06-02 09:12:56.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518644,Master-2912176,"300000047659047",2026-05-08 00:00:00.000,300000049196397,300000001421038,79,SA,MANUAL
509162,35664,Success, ,2026-06-02 09:12:55.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912195,"300000039834125",2026-05-08 00:00:00.000,300000040073226,300000001421038,4031,SA,MANUAL
509161,35664,Success, ,2026-06-02 09:12:55.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912176,"300000047659074",2026-05-08 00:00:00.000,300000049196397,300000001421038,3111,SA,MANUAL
509160,35664,Success, ,2026-06-02 09:12:55.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912175,"300000155263154",2026-05-08 00:00:00.000,300000155263161,300000001421038,199,SA,MANUAL
509159,35664,Success, ,2026-06-02 09:12:55.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2911292,"300000028360206",2026-05-08 00:00:00.000,300000028676725,300000001421038,770,SA,MANUAL
509158,35664,Success, ,2026-06-02 09:12:55.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518642,AMEX-2912185,"300000035114656",2026-05-08 00:00:00.000,300000035830267,300000001421038,660,SA,MANUAL
509157,35664,Success, ,2026-06-02 09:12:54.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518644,Master-2911292,"300000028360206",2026-05-08 00:00:00.000,300000028676725,300000001421038,1041,SA,MANUAL
509156,35664,Success, ,2026-06-02 09:12:54.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912176,"300000047659047",2026-05-08 00:00:00.000,300000049196397,300000001421038,9684,SA,MANUAL
509155,35664,Success, ,2026-06-02 09:12:54.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912185,"300000035114656",2026-05-08 00:00:00.000,300000035830267,300000001421038,399,SA,MANUAL
509154,35664,Success, ,2026-06-02 09:12:54.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912175,"300000155263148",2026-05-08 00:00:00.000,300000155263161,300000001421038,1211,SA,MANUAL
509153,35664,Success, ,2026-06-02 09:12:53.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2911292,"300000028360218",2026-05-08 00:00:00.000,300000028676725,300000001421038,3256,SA,MANUAL
509151,35664,Success, ,2026-06-02 09:12:53.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912175,"300000155263154",2026-05-08 00:00:00.000,300000155263161,300000001421038,2755,SA,MANUAL
509150,35664,Success, ,2026-06-02 09:12:53.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2911292,"300000028360206",2026-05-08 00:00:00.000,300000028676725,300000001421038,6247,SA,MANUAL
509149,35664,Success, ,2026-06-02 09:12:53.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912185,"300000035114621",2026-05-08 00:00:00.000,300000035830267,300000001421038,652,SA,MANUAL
509148,35664,Success, ,2026-06-02 09:12:52.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912185,"300000035114656",2026-05-08 00:00:00.000,300000035830267,300000001421038,3872,SA,MANUAL
509143,35664,Success, ,2026-06-02 09:12:30.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912183,"300000035114617",2026-05-08 00:00:00.000,300000035830252,300000001421038,1146,SA,MANUAL
509142,35664,Success, ,2026-06-02 09:12:29.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912183,"300000035114653",2026-05-08 00:00:00.000,300000035830252,300000001421038,2986,SA,MANUAL
509141,35664,Success, ,2026-06-02 09:12:29.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912182,"300000050662318",2026-05-08 00:00:00.000,300000051631411,300000001421038,573,SA,MANUAL
509140,35664,Success, ,2026-06-02 09:12:29.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912179,"300000110032545",2026-05-08 00:00:00.000,300000110233627,300000001421038,1071,SA,MANUAL
509139,35664,Success, ,2026-06-02 09:12:28.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912182,"300000050662318",2026-05-08 00:00:00.000,300000051631411,300000001421038,3050,SA,MANUAL
509138,35664,Success, ,2026-06-02 09:12:28.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518644,Master-2912179,"300000110032545",2026-05-08 00:00:00.000,300000110233627,300000001421038,299,SA,MANUAL
509137,35664,Success, ,2026-06-02 09:12:27.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2911286,"300000027746380",2026-05-08 00:00:00.000,300000027552597,300000001421038,259,SA,MANUAL
509136,35664,Success, ,2026-06-02 09:12:27.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912179,"300000110032561",2026-05-08 00:00:00.000,300000110233627,300000001421038,676,SA,MANUAL
509135,35664,Success, ,2026-06-02 09:12:27.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2911286,"300000027801170",2026-05-08 00:00:00.000,300000027552597,300000001421038,369,SA,MANUAL
509134,35664,Success, ,2026-06-02 09:12:27.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912179,"300000110032545",2026-05-08 00:00:00.000,300000110233627,300000001421038,5084,SA,MANUAL
509133,35664,Success, ,2026-06-02 09:12:26.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2911286,"300000027746380",2026-05-08 00:00:00.000,300000027552597,300000001421038,722,SA,MANUAL
509132,35664,Success, ,2026-06-02 09:11:45.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2911287,"300000016780602",2026-05-08 00:00:00.000,300000003947016,300000001421038,1475,SA,MANUAL
509131,35664,Success, ,2026-06-02 09:11:44.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2911287,"300000003335888",2026-05-08 00:00:00.000,300000003947016,300000001421038,1352,SA,MANUAL
509130,35664,Success, ,2026-06-02 09:11:44.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2911287,"300000016780602",2026-05-08 00:00:00.000,300000003947016,300000001421038,6393,SA,MANUAL
509129,35664,Success, ,2026-06-02 09:11:42.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912154,"300000066308321",2026-05-08 00:00:00.000,300000066308347,300000001421038,1369,SA,MANUAL
509128,35664,Success, ,2026-06-02 09:11:41.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912154,"300000066308332",2026-05-08 00:00:00.000,300000066308347,300000001421038,1813,SA,MANUAL
509127,35664,Success, ,2026-06-02 09:11:40.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912154,"300000066308321",2026-05-08 00:00:00.000,300000066308347,300000001421038,3797,SA,MANUAL
509126,35664,Success, ,2026-06-02 09:11:32.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2911285,"300000016780479",2026-05-08 00:00:00.000,300000003335211,300000001421038,2714,SA,MANUAL
509125,35664,Success, ,2026-06-02 09:11:32.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518644,Master-2911285,"300000016780479",2026-05-08 00:00:00.000,300000003335211,300000001421038,125,SA,MANUAL
509124,35664,Success, ,2026-06-02 09:11:31.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2911285,"300000003336222",2026-05-08 00:00:00.000,300000003335211,300000001421038,1290,SA,MANUAL
509123,35664,Success, ,2026-06-02 09:11:30.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2911285,"300000016780479",2026-05-08 00:00:00.000,300000003335211,300000001421038,9786,SA,MANUAL
509121,35664,Success, ,2026-06-02 09:11:19.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518644,Master-2912174,"300000035114674",2026-05-08 00:00:00.000,300000035830374,300000001421038,299,SA,MANUAL
509120,35664,Success, ,2026-06-02 09:11:18.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912174,"300000035114641",2026-05-08 00:00:00.000,300000035830374,300000001421038,155,SA,MANUAL
509118,35664,Success, ,2026-06-02 09:11:15.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912165,"300000035114677",2026-05-08 00:00:00.000,300000035830391,300000001421038,1300,SA,MANUAL
509112,35664,Success, ,2026-06-02 09:11:13.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912161,"300000056139970",2026-05-08 00:00:00.000,300000056571480,300000001421038,55,SA,MANUAL
509111,35664,Success, ,2026-06-02 09:11:12.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912159,"300000080235506",2026-05-08 00:00:00.000,300000082211898,300000001421038,3128,SA,MANUAL
509110,35664,Success, ,2026-06-02 09:11:12.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912161,"300000056139994",2026-05-08 00:00:00.000,300000056571480,300000001421038,103,SA,MANUAL
509109,35664,Success, ,2026-06-02 09:11:11.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912161,"300000056139970",2026-05-08 00:00:00.000,300000056571480,300000001421038,2515,SA,MANUAL
509108,35664,Success, ,2026-06-02 09:11:11.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912157,"300000096820487",2026-05-08 00:00:00.000,300000099024531,300000001421038,128,SA,MANUAL
509091,35664,Success, ,2026-06-02 09:10:40.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912150,"300000050662348",2026-05-08 00:00:00.000,300000051631644,300000001421038,1051,SA,MANUAL
509089,35664,Success, ,2026-06-02 09:10:39.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518644,Master-2912150,"300000050662348",2026-05-08 00:00:00.000,300000051631644,300000001421038,799,SA,MANUAL
509088,35664,Success, ,2026-06-02 09:10:39.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912148,"300000001545576",2026-05-08 00:00:00.000,300000001545953,300000001421038,2084,SA,MANUAL
509087,35664,Success, ,2026-06-02 09:10:38.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912150,"300000050662402",2026-05-08 00:00:00.000,300000051631644,300000001421038,6844,SA,MANUAL
509252,35664,Success, ,2026-06-02 09:14:54.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2911308,"300000016780483",2026-05-08 00:00:00.000,300000003335227,300000001421038,2867,SA,MANUAL
